Distance,Time,yyyy-mm-dd_HH-MM-SS
58918.5183,371.0615,2024-07-10_19-52-13
58886.7223,372.0937,2024-07-10_19-52-14
58919.1293,373.0917,2024-07-10_19-52-15
58932.4352,374.1223,2024-07-10_19-52-16
58912.1968,375.1497,2024-07-10_19-52-17
58940.8812,376.1411,2024-07-10_19-52-18
58938.1602,377.1672,2024-07-10_19-52-19
58851.9073,378.1927,2024-07-10_19-52-20
58931.4686,379.1863,2024-07-10_19-52-21
58924.9915,380.1993,2024-07-10_19-52-22
58935.4753,381.2339,2024-07-10_19-52-23
58944.8951,382.233,2024-07-10_19-52-24
58919.3363,383.2605,2024-07-10_19-52-25
58942.2419,384.2717,2024-07-10_19-52-26
58938.6247,385.293,2024-07-10_19-52-27
58934.0225,386.3129,2024-07-10_19-52-28
58821.1126,387.3088,2024-07-10_19-52-29
58934.8561,388.3247,2024-07-10_19-52-30
58920.2746,389.3544,2024-07-10_19-52-31
58915.7034,390.3546,2024-07-10_19-52-32
58873.3115,391.3965,2024-07-10_19-52-33
58935.3817,392.3864,2024-07-10_19-52-34
58906.296,393.4041,2024-07-10_19-52-35
58945.6578,394.4166,2024-07-10_19-52-36
58939.8218,395.4373,2024-07-10_19-52-37
58911.4327,396.4472,2024-07-10_19-52-38
58914.5536,397.4907,2024-07-10_19-52-40
58911.9259,398.4885,2024-07-10_19-52-41
58901.0028,399.4988,2024-07-10_19-52-42
58889.9392,400.5077,2024-07-10_19-52-43
58916.5412,401.538,2024-07-10_19-52-44
58890.3742,402.5502,2024-07-10_19-52-45
58908.373,403.5731,2024-07-10_19-52-46
58903.6275,404.5945,2024-07-10_19-52-47
58898.104,405.5904,2024-07-10_19-52-48
58917.3027,406.6059,2024-07-10_19-52-49
58917.497,407.6336,2024-07-10_19-52-50
58925.2948,408.6569,2024-07-10_19-52-51
58923.5004,409.6525,2024-07-10_19-52-52
58864.8701,410.6671,2024-07-10_19-52-53
58895.2254,411.6952,2024-07-10_19-52-54
58917.8776,412.7063,2024-07-10_19-52-55
58908.5367,413.7234,2024-07-10_19-52-56
58916.7176,414.7484,2024-07-10_19-52-57
58910.2438,415.7406,2024-07-10_19-52-58
58933.8942,416.7687,2024-07-10_19-52-59
58903.7587,417.7996,2024-07-10_19-53-00
58917.0628,418.7963,2024-07-10_19-53-01
58911.1953,419.8108,2024-07-10_19-53-02
58898.7206,420.8209,2024-07-10_19-53-03
58928.8001,421.8497,2024-07-10_19-53-04
58884.5069,422.8739,2024-07-10_19-53-05
58905.3088,423.869,2024-07-10_19-53-06
58859.6043,424.9057,2024-07-10_19-53-07
58889.2012,425.9078,2024-07-10_19-53-08
58860.7506,426.9347,2024-07-10_19-53-09
58895.845,427.9387,2024-07-10_19-53-10
58893.7062,428.9426,2024-07-10_19-53-11
58900.3935,429.9803,2024-07-10_19-53-12
58910.4983,430.9731,2024-07-10_19-53-13
58759.0592,431.9931,2024-07-10_19-53-14
58944.3204,433.0206,2024-07-10_19-53-15
58922.0849,434.0312,2024-07-10_19-53-16
58940.8473,435.0352,2024-07-10_19-53-17
58909.53,436.075,2024-07-10_19-53-18
58916.162,437.0685,2024-07-10_19-53-19
58921.0684,438.1094,2024-07-10_19-53-20
58947.0777,439.1063,2024-07-10_19-53-21
58913.7405,440.1155,2024-07-10_19-53-22
58931.0631,441.1533,2024-07-10_19-53-23
58903.0483,442.1554,2024-07-10_19-53-24
58914.9553,443.1817,2024-07-10_19-53-25
58900.7256,444.1874,2024-07-10_19-53-26
58918.0736,445.197,2024-07-10_19-53-27
58927.4299,446.2084,2024-07-10_19-53-28
58923.8105,447.2342,2024-07-10_19-53-29
57931.1841,448.2646,2024-07-10_19-53-30
58913.5177,449.2603,2024-07-10_19-53-31
58923.7483,450.274,2024-07-10_19-53-32
58737.8116,451.298,2024-07-10_19-53-33
58931.6312,452.3219,2024-07-10_19-53-34
58940.6079,453.3168,2024-07-10_19-53-35
58929.6377,454.3585,2024-07-10_19-53-36
58910.7447,455.3572,2024-07-10_19-53-37
58938.1951,456.3776,2024-07-10_19-53-38
58944.7545,457.374,2024-07-10_19-53-39
58939.2804,458.4181,2024-07-10_19-53-40
58918.6784,459.4075,2024-07-10_19-53-41
58910.9421,460.448,2024-07-10_19-53-42
58917.6533,461.4441,2024-07-10_19-53-43
58913.6146,462.473,2024-07-10_19-53-44
58917.2431,463.4687,2024-07-10_19-53-45
58928.3981,464.5105,2024-07-10_19-53-47
58923.9742,465.5096,2024-07-10_19-53-48
58951.5195,466.5301,2024-07-10_19-53-49
58919.5349,467.553,2024-07-10_19-53-50
58927.7991,468.5501,2024-07-10_19-53-51
58895.0113,469.5899,2024-07-10_19-53-52
58897.483,470.5837,2024-07-10_19-53-53
58927.9222,471.6133,2024-07-10_19-53-54
58916.468,472.6361,2024-07-10_19-53-55
58925.5829,473.6323,2024-07-10_19-53-56
58908.5263,474.6614,2024-07-10_19-53-57
58917.4089,475.6619,2024-07-10_19-53-58
58915.5926,476.684,2024-07-10_19-53-59
58868.7906,477.6882,2024-07-10_19-54-00
58923.2762,478.7185,2024-07-10_19-54-01
58905.5956,479.7293,2024-07-10_19-54-02
58912.3944,480.7383,2024-07-10_19-54-03
58896.5933,481.7734,2024-07-10_19-54-04
58900.7048,482.7679,2024-07-10_19-54-05
58924.0899,483.7818,2024-07-10_19-54-06
58904.8359,484.8255,2024-07-10_19-54-07
58888.2809,485.8158,2024-07-10_19-54-08
58881.4106,486.8423,2024-07-10_19-54-09
58891.3431,487.8641,2024-07-10_19-54-10
58880.7293,488.8698,2024-07-10_19-54-11
58943.2884,489.8787,2024-07-10_19-54-12
58897.9805,490.8908,2024-07-10_19-54-13
58931.1056,491.9394,2024-07-10_19-54-14
58932.1086,492.9348,2024-07-10_19-54-15
58885.0234,493.9461,2024-07-10_19-54-16
58917.404,494.9735,2024-07-10_19-54-17
58953.9543,495.9776,2024-07-10_19-54-18
58922.3069,496.9869,2024-07-10_19-54-19
58933.2228,498.0054,2024-07-10_19-54-20
58865.6404,499.0298,2024-07-10_19-54-21
58917.065,500.0434,2024-07-10_19-54-22
58906.6406,501.0543,2024-07-10_19-54-23
58908.8652,502.0917,2024-07-10_19-54-24
58907.1408,503.0819,2024-07-10_19-54-25
58950.273,504.0971,2024-07-10_19-54-26
58910.3427,505.1213,2024-07-10_19-54-27
58940.927,506.1326,2024-07-10_19-54-28
58907.1497,507.1611,2024-07-10_19-54-29
58885.8363,508.1587,2024-07-10_19-54-30
58916.1544,509.2007,2024-07-10_19-54-31
58918.9715,510.1948,2024-07-10_19-54-32
58928.4392,511.2191,2024-07-10_19-54-33
58936.336,512.23,2024-07-10_19-54-34
58897.0305,513.2522,2024-07-10_19-54-35
58909.3494,514.2613,2024-07-10_19-54-36
58920.2779,515.2765,2024-07-10_19-54-37
58921.8438,516.2997,2024-07-10_19-54-38
58936.3571,517.2955,2024-07-10_19-54-39
58915.0855,518.3426,2024-07-10_19-54-40
58912.7482,519.3342,2024-07-10_19-54-41
58910.1453,520.3434,2024-07-10_19-54-42
58912.0596,521.3598,2024-07-10_19-54-43
58891.7366,522.4027,2024-07-10_19-54-44
58909.497,523.3934,2024-07-10_19-54-45
58913.8964,524.4218,2024-07-10_19-54-46
58916.612,525.432,2024-07-10_19-54-47
58926.4702,526.441,2024-07-10_19-54-48
58924.5665,527.4683,2024-07-10_19-54-49
58926.0349,528.4688,2024-07-10_19-54-50
58920.1576,529.508,2024-07-10_19-54-52
58927.5776,530.5099,2024-07-10_19-54-53
58860.2228,531.5261,2024-07-10_19-54-54
58833.7198,532.5444,2024-07-10_19-54-55
58930.9429,533.56,2024-07-10_19-54-56
57659.9178,534.5842,2024-07-10_19-54-57
57916.5249,535.5791,2024-07-10_19-54-58
57912.9968,536.6049,2024-07-10_19-54-59
57986.3356,537.6374,2024-07-10_19-55-00
57635.0836,538.6327,2024-07-10_19-55-01
56723.0183,539.6537,2024-07-10_19-55-02
58920.1573,540.6752,2024-07-10_19-55-03
58914.3233,541.7002,2024-07-10_19-55-04
58920.0754,542.6914,2024-07-10_19-55-05
58935.193,543.7263,2024-07-10_19-55-06
58913.5359,544.7211,2024-07-10_19-55-07
58897.6206,545.7416,2024-07-10_19-55-08
58919.9301,546.7612,2024-07-10_19-55-09
58909.8498,547.7656,2024-07-10_19-55-10
58914.7804,548.8047,2024-07-10_19-55-11
58927.3314,549.7967,2024-07-10_19-55-12
58798.7486,550.837,2024-07-10_19-55-13
58934.241,551.8301,2024-07-10_19-55-14
58956.8542,552.849,2024-07-10_19-55-15
58926.9783,553.8729,2024-07-10_19-55-16
58933.2871,554.8848,2024-07-10_19-55-17
58948.3825,555.9052,2024-07-10_19-55-18
58935.0416,556.9362,2024-07-10_19-55-19
58937.4197,557.9233,2024-07-10_19-55-20
58895.2236,558.9375,2024-07-10_19-55-21
58913.4455,559.9674,2024-07-10_19-55-22
58910.7763,560.9769,2024-07-10_19-55-23
58922.0392,562.0132,2024-07-10_19-55-24
58919.8222,563.0041,2024-07-10_19-55-25
58917.3674,564.0174,2024-07-10_19-55-26
58922.2033,565.0589,2024-07-10_19-55-27
58945.6579,566.0603,2024-07-10_19-55-28
