Distance,Time,,,,Time,
31.5648,455.86372,0.7765,,,,
32.273,456.6298,0.76608,,,,
24.7254,457.39281,0.76301,,,,
33.6455,458.16512,0.77231,,,,
39.1381,458.92956,0.76444,,,,
33.9252,459.69591,0.76635,,,,
37.9397,460.46399,0.76808,,,,
26.8907,461.22167,0.75768,,,,
42.5376,461.98423,0.76256,,,,
41.6715,462.75847,0.77424,,,,
52.1504,463.51981,0.76134,,,,
20.9318,464.28114,0.76133,,,,
28.0315,465.05905,0.77791,,,,
26.4473,465.8205,0.76145,,,,
11.1948,466.59075,0.77025,,,,
28.7521,467.35277,0.76202,,,,
39.1274,468.12451,0.77174,,,,
23.6728,468.895,0.77049,,,,
39.4265,469.66597,0.77097,,,,
43.9266,470.42136,0.75539,,,,
29.062,471.18576,0.7644,,,,
32.1937,471.95751,0.77175,,,,
35.1161,472.72871,0.7712,,,,
34.5877,473.4993,0.77059,,,,
25.8562,474.25361,0.75431,,,,
26.2105,475.02365,0.77004,,,,
30.2855,475.79503,0.77138,,,,
29.5661,476.5538,0.75877,,,,
43.4383,477.32422,0.77042,,,,
22.3186,478.0984,0.77418,,,,
26.1254,478.86075,0.76235,,,,
27.6781,479.62346,0.76271,,,,
19.3016,480.38825,0.76479,,,,
33.9397,481.16573,0.77748,,,,
34.4774,481.92471,0.75898,,,,
37.9236,482.6966,0.77189,,,,
28.8388,483.45127,0.75467,,,,
23.4278,484.21748,0.76621,,,,
20.6677,484.99016,0.77268,,,,
27.8231,485.75176,0.7616,,,,
42.0691,486.53027,0.77851,,,,
47.1979,487.28939,0.75912,,,,
40.6975,488.05107,0.76168,,,,
37.4803,488.82989,0.77882,,,,
24.8985,489.58373,0.75384,,,,
34.8138,490.35516,0.77143,,,,
33.3016,491.12738,0.77222,,,,
41.2754,491.89264,0.76526,,,,
26.9846,492.65205,0.75941,,,,
36.8624,493.42583,0.77378,,,,
33.1938,494.18848,0.76265,,,,
24.4047,494.96023,0.77175,,,,
39.4099,495.7151,0.75487,,,,
47.25,496.49297,0.77787,,,,
34.0811,497.25859,0.76562,,,,
27.509,498.02738,0.76879,,,,
47.9488,498.79262,0.76524,,,,
27.871,499.56308,0.77046,,,,
15.0198,500.31812,0.75504,,,,
37.6915,501.08861,0.77049,,,,
33.3515,501.86226,0.77365,,,,
19.0608,502.61821,0.75595,,,,
37.7664,503.38957,0.77136,,,,
29.5938,504.14767,0.7581,,,,
35.2937,504.91864,0.77097,,,,
14.945,505.68811,0.76947,,,,
26.7044,506.44626,0.75815,,,,
27.2637,507.21765,0.77139,,,,
39.0277,507.98912,0.77147,,,,
22.1125,508.7647,0.77558,,,,
17.3665,509.51825,0.75355,,,,
40.2477,510.28873,0.77048,,,,
39.5054,511.06369,0.77496,,,,
-5.56629,511.83599,0.7723,,,,
34.8504,512.58667,0.75068,,,,
23.4925,513.35355,0.76688,,,,
21.4681,514.12734,0.77379,,,,
19.5695,514.885,0.75766,,,,
30.6329,515.65628,0.77128,,,,
18.2778,516.42583,0.76955,,,,
31.8542,517.19738,0.77155,,,,
26.6648,517.95217,0.75479,,,,
37.3041,518.72255,0.77038,,,,
21.1286,519.49111,0.76856,,,,
40.2862,520.25984,0.76873,,,,
33.6402,521.0207,0.76086,,,,
28.2998,521.78995,0.76925,,,,
28.2305,522.56231,0.77236,,,,
24.8372,523.31712,0.75481,,,,
24.2892,524.08712,0.77,,,,
20.8305,524.86343,0.77631,,,,
20.7561,525.62135,0.75792,,,,
28.2458,526.3943,0.77295,,,,
9.44594,527.16188,0.76758,,,,
16.1651,527.91634,0.75446,,,,
22.905,528.68979,0.77345,,,,
31.3091,529.45883,0.76904,,,,
15.695,530.21426,0.75543,,,,
13.2749,530.98411,0.76985,,,,
22.6137,531.75682,0.77271,,,,
2.91618,532.52637,0.76955,,,,
26.6943,533.29266,0.76629,,,,
19.7055,534.06062,0.76796,,,,
23.7458,534.82739,0.76677,,,,
25.1079,535.59457,0.76718,,,,
34.6892,536.35918,0.76461,,,,
24.4222,537.11345,0.75427,,,,
19.9856,537.88247,0.76902,,,,
1.86179,538.65111,0.76864,,,,
32.2067,539.41521,0.7641,,,,
6.2861,540.17961,0.7644,,,,
22.1837,540.95236,0.77275,,,,
20.0328,541.72008,0.76772,,,,
32.0632,542.49082,0.77074,,,,
30.2436,543.25224,0.76142,,,,
21.7639,544.0224,0.77016,,,,
23.4294,544.79299,0.77059,,,,
17.5594,545.55012,0.75713,,,,
25.9329,546.32786,0.77774,,,,
34.9567,547.08756,0.7597,,,,
19.9521,547.85093,0.76337,,,,
36.9464,548.6139,0.76297,,,,
25.5043,549.39121,0.77731,,,,
16.655,550.15241,0.7612,,,,
25.8157,550.91712,0.76471,,,,
27.4426,551.69657,0.77945,,,,
17.1923,552.45041,0.75384,,,,
26.4141,553.22684,0.77643,,,,
39.1124,553.99126,0.76442,,,,
31.187,554.75132,0.76006,,,,
15.1138,555.52568,0.77436,,,,
39.5088,556.2911,0.76542,,,,
9.19644,557.04914,0.75804,,,,
42.7434,557.8154,0.76626,,,,
25.6902,558.58873,0.77333,,,,
45.2487,559.35249,0.76376,,,,
-15.2046,560.11844,0.76595,,,,
27.3823,560.88294,0.7645,,,,
